岗位名称,公司,薪资,城市,详情链接
Java实习,体坛传媒,200-300/天,北京,https://www.shixiseng.com/intern/inn_rpjf7entbnhb?pcm=pc_SearchList
Java实习,通得科技,80-150/天,德州,https://www.shixiseng.com/intern/inn_izepfqlowdgr?pcm=pc_SearchList
Java开发（实习）,蜀俊博凌,200-400/天,深圳,https://www.shixiseng.com/intern/inn_orexv9hjhoe1?pcm=pc_SearchList
Java实习工程师,币码网络,150-200/天,北京,https://www.shixiseng.com/intern/inn_6ovn4qh9lcum?pcm=pc_SearchList
Java开发实习,分期学科技,100-180/天,成都,https://www.shixiseng.com/intern/inn_f9r19o5xdloq?pcm=pc_SearchList
Java开发实习程序员,纳曙科技,150-200/天,郑州,https://www.shixiseng.com/intern/inn_dydh96zooile?pcm=pc_SearchList
Java开发实习工程师,海量数据,150-250/天,广州,https://www.shixiseng.com/intern/inn_zv0gskkywiwe?pcm=pc_SearchList
Java开发实习工程师,海量数据,150-250/天,成都,https://www.shixiseng.com/intern/inn_eyj9owtar1os?pcm=pc_SearchList
Java开发实习工程师,海量数据,150-250/天,西安,https://www.shixiseng.com/intern/inn_gogip1lzhiju?pcm=pc_SearchList
Java开发（可转正实习）,墨泊可士,200-400/天,广州,https://www.shixiseng.com/intern/inn_5eqzsbv9jtiw?pcm=pc_SearchList
Java开发实习实习工程师,清云智飞,150-200/天,南京,https://www.shixiseng.com/intern/inn_qqnwleuda50o?pcm=pc_SearchList
Java实习工程师,数方,150-300/天,广州,https://www.shixiseng.com/intern/inn_laeatkztdoo8?pcm=pc_SearchList
Java开发实习（26届，实习转正）,途牛旅游网,200-300/天,南京,https://www.shixiseng.com/intern/inn_osawzyaern5y?pcm=pc_SearchList
Java开发实习工程师,爱搭AIda,150-200/天,上海,https://www.shixiseng.com/intern/inn_2hf197csm5ek?pcm=pc_SearchList
【留用实习】Java开发工程师,快手,薪资面议,北京,https://www.shixiseng.com/intern/inn_tnnfykugvwpb?pcm=pc_SearchList
【留用实习】Java开发工程师,快手,薪资面议,北京,https://www.shixiseng.com/intern/inn_kxkdeoz9m1fc?pcm=pc_SearchList
【2026届校招暑期实习】Java工程师（海外业务）,北京陌陌信息技术有限公司,250-300/天,北京,https://www.shixiseng.com/intern/inn_b1adxvgm8bfm?pcm=pc_SearchList
【留用实习】安全工程师-Java开发方向,快手,薪资面议,北京,https://www.shixiseng.com/intern/inn_4tsh2a5np3s5?pcm=pc_SearchList
【27届实习】Java平台开发工程师-数据平台,小红书,360-400/天,北京,https://www.shixiseng.com/intern/inn_t8ksj0h8na2p?pcm=pc_SearchList
【27届实习】Java平台开发工程师-数据平台,小红书,360-400/天,上海,https://www.shixiseng.com/intern/inn_hqjyadc92ms9?pcm=pc_SearchList
